City,Ideal_duration,Hotel_Name,Hotel_Price,Hotel_Rating,City_desc
srinagar,03-May,Hotel Lake Scene,664,3.4,"["" Famously known as 'Heaven on Earth, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. Srinagar is known for the stationary houseboats and gondola-type rowboats- Shikaras on Dal Lake. Adorned with tranquil Dal Lake & Nigeen Lake, Srinagar is the dream destination for honeymoon and family holidays."", '', "" The tourists use Shikaras to see attractions like the Floating Vegetable Market and the Mir Bahris – a lively community of people who live on the lake itself. In addition, there are a lot of houseboats that provide a beautiful and unique stay experience on the lake. Srinagar is home to some of India's most exquisite Mughal-age gardens, with the top attractions being Nishat Bagh, Shalimar Bagh and Chashm-E-Shahi Garden. It is also home to Asia's largest tulip garden.Kashmiri cuisine or Wazwan is famous all over the globe. So when in Srinagar, trying out the local dishes, which are rich in unique fragrant spices, is a must. Srinagar is also famous for the Kashmiri shawls, Kashmiri apples, and dried fruits (almonds and walnuts) from the Lal Chowk Market.Heavy snowfall affects the connectivity of Srinagar during the winter months of December to February. Communal tensions also lead to frequent curfews in some parts of the city; however, things have improved in the past few years. So, make sure to check the situation before visiting.""]"
gwalior,01-Feb,Chaitanya Kalyan Guest House,672,3.7,"[' Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. A historic city founded by king Surajesan, Gwalior is a city where India's most eminent royalty once resided. Jai Vilas Pala has the largest carpet in the world which took almost 12 years to weave and two most massive chandeliers in the world that weight close to 3.5 tonnes.The great Indian musician Tansen was born in Gwalior, and the tomb of Tansen is also an important place here. Every year, in November/December, a four-day Tansen Music festival is celebrated in the city where various classical musicians from all over the country perform on the stage near the tomb itself. Visit the various monuments and museums, eat the local delicacies like namkeen and go boating in Tighra Dam while you are in the city.""]"
meerut,,CAPITAL O74359 Hotel Mukut Mahal,674,3.7,
delhi,03-May,amigosindia,706,4.5,"[' The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart.', '', "" The narrow, winding lanes and bylanes of old Delhi are a testament to the former Mughal rule. Old Delhi houses one of the country's oldest and busiest market – Chandni Chowk.Take time to explore historical monuments such as the Red Fort, Jama Masjid, Humayun's Tomb and Purana Qila if you want to explore the Mughal History. Delhi has famous temples scattered all across the city, a few noteworthy ones being the Akshardham Temple, the Lotus Temple (also known as the Bahai Temple), and the ISKON Temple.People in Delhi love to eat, and tourists will find themselves spoilt for choice between the multitude of dishes on offer at every corner of every street. From kebabs and tikkas to Chhole Bhature, Delhi is a melting pot of diverse cultures, and this fact is reflected in the culinary palette of the city. There are a number of cafes and restaurants for the travellers.Central Delhi is the concentration of the country's political power, and the must-visit places here include the Connaught Place,  drive from outside of Rashtrapati Bhawan on Raisina Hill (visitors are not allowed to go inside), the Rajpath, and the India Gate. The best place to visit this area is in the evening, as all the buildings are lit up, and you can see the Amar Jawan Jyoti at India Gate shining brightly.Delhi is a shopper's paradise with some colourful bazaars and upscale markets. The wide variety of markets in Delhi ensure that travellers go back home with double the luggage they came with!""]"
guwahati,,Mahalaxmi Home Stay,710,4.3,
mysore,01-Feb,Hotel Garden City,715,3.6,"[' Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit.', '', ' Mysore was one of the three largest Princely States in the erstwhile British Empire of India. To this day, the Mysore Palace stands tall as one of the most spectacular palaces in India. A very famous tourist spot that sees thousands of visitors milling in and around it every day, the Mysore Palace is a mesmerizing example of Indo-Saracenic architecture, every inch of the palace drips with opulence and intricate details, and every room that you visit stands out in terms of its elaborate architecture, beautiful paintings, rich colours and stained-glass windows. On every Sunday, and during the Dussehra celebrations, the palace is spectacularly lit up once dusk falls.Another popular element in Mysore is the Ashtanga School of Yoga. This draws visitors and practitioners from around the world to participate in this style of yoga that originated in Mysore. ']"
kashmir,,Hotel New Green View Srinagar (Ghulam),723,3.8,
srinagar,03-May,Hotel New Green View Srinagar (Ghulam),723,3.8,"["" Famously known as 'Heaven on Earth, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. Srinagar is known for the stationary houseboats and gondola-type rowboats- Shikaras on Dal Lake. Adorned with tranquil Dal Lake & Nigeen Lake, Srinagar is the dream destination for honeymoon and family holidays."", '', "" The tourists use Shikaras to see attractions like the Floating Vegetable Market and the Mir Bahris – a lively community of people who live on the lake itself. In addition, there are a lot of houseboats that provide a beautiful and unique stay experience on the lake. Srinagar is home to some of India's most exquisite Mughal-age gardens, with the top attractions being Nishat Bagh, Shalimar Bagh and Chashm-E-Shahi Garden. It is also home to Asia's largest tulip garden.Kashmiri cuisine or Wazwan is famous all over the globe. So when in Srinagar, trying out the local dishes, which are rich in unique fragrant spices, is a must. Srinagar is also famous for the Kashmiri shawls, Kashmiri apples, and dried fruits (almonds and walnuts) from the Lal Chowk Market.Heavy snowfall affects the connectivity of Srinagar during the winter months of December to February. Communal tensions also lead to frequent curfews in some parts of the city; however, things have improved in the past few years. So, make sure to check the situation before visiting.""]"
varanasi,02-Mar,Family Guest House,725,4.5,"["" World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be prepared to walk on foot and encounter some holy cows! Temples at almost every turn engulf Varanasi but the Kashi Vishwanath Temple is the most visited and the oldest of the lot. Benaras is known as the city of Lord Shiva for a reason, and rightfully so."", '', "" Varanasi is considered an auspicious place to die, as it is believed to grant moksha or liberation from the cycle of life and death. Spiritually enlightening, the heart of the city pulsates around the ghats, about 80 of which border the Ganges. Be prepared for the sights, sounds and smells! Don't miss out on the hot chaat and cool lassi. Though, all chaos and noise on the ghats take a pause before dusk when the Ganga Aarti begins to take place, a ceremony of immense grandeur. This divine city is also an important destination for Buddhists. Gautam Buddha preached his first sermon in Benaras, a part which is now in Sarnath. ""]"
jamshedpur,,Hotel Chandra,729,4.1,
amritsar,02-Mar,Madpackers Amritsar,732,4.4,"[' Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food. Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar\'s resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border.  From Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name is first the ancient lake, then the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.']"
raipur,,Shri Shiva Palace,736,3.7,
kanyakumari,01-Feb,Hotel Sky Ark,743,4,"[' Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin.  Kanyakumari offers the marvellous confluence of the Bay of Bengal, the Arabian Sea and the Indian ocean meeting together at a point. But, this is not a miracle, the miracle lies in the beauty that the water of three seas does not mix, you can clearly distinguish between the turquoise blue, deep blue and sea green waters of the three seas. To enjoy the best view of sunset and sunrise, you can visit the Triveni Sangam point and the famous View tower.The town has a mountainous terrain with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach. The town is not only popular for its unique phenomenon but also its temples and the Vivekananda Rock Memorial among other iconic monuments.Waterfalls in Kanyakumari that you should not miss out on include the Thirparappu falls, the Courtallam Falls, and the Olakaruvi falls. Kanyakumari has authentic South Indian cuisine, with seafood and coconuts being an integral part of almost all dishes.']"
bangalore,02-Mar,The Signature Inn,756,3.8,"["" Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee roasters and pubs dotting every corner of the city, serving cuisines from all over the world. Brunches, buffets, burgers, rooftop cafes, late-night eats - Bangalore has it all."", '', "" Here, one can choose to take a long stroll through the beautiful Cubbon Park, shop in the many malls or street markets or hop into one of the many acclaimed breweries for a cold and refreshing drink. There are a huge number of beautifully decorated parks in the city that are ideal for going on a morning stroll or a jog. One walk through the 300-acre Cubbon Park, or the botanical gardens of Lalbagh, and you'll know precisely why Bangalore is so famously called India's 'Garden City'.But just like every big city, the unprecedented growth of IT in Bangalore has reshaped quite a few things including rising temperatures, polluted lakes and heavily congested roads, especially in the newer areas. Aside from the central business and commercial districts (and the roads leading up to them), the neighbourhoods of Bangalore are mostly quiet and serene, especially the older parts of the city like Jayanagar and J.P Nagar. ""]"
sikkim,,Great Eastern Valley Residency,769,4.3,
guwahati,,Gibbon Backpackers Hostel,782,4.5,
kolkata,02-Apr,The Elite Apartment Hotel,784,4.7,"["" Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrives on contradictions and imposing spectacles; nothing is commonplace in this city. Famously known as the City of Joy, Kolkata is, in every sense, the artistic, cultural and intellectual capital of the country. Kolkata's streets are vivid, hectic, chaotic, and yet, brimming with life and creativity. Driven by the indomitable spirit of the self-made middle class, the city has created a beautiful juxtaposition of the old colonial-era charm with the nascent upcoming hipster culture that thrives amongst the city's millennial residents."", '', ' Starting from admiring the flourishing art scene in the city to going on rewarding gastronomical explorations to wandering amidst the countless bazaars to sitting by the banks of the Hooghly and enjoying a peaceful sunset, Kolkata is soaked in layers and layers of heritage and culture, and peeling off each layer to look beneath the hood is a very rewarding, once-in-a-lifetime experience. As the famous quote goes, ""If you want a city with a soul, come to Calcutta"".Formerly the capital of the British empire before the government was shifted to Delhi, Kolkata has a distinct tinge of its royal past lingering in every nook and cranny of the city. If you want to soak in some of the city\'s regal past, take a walk along the streets of North Kolkata, which houses some of the oldest mansions in the city, swathed with vines and a persistent sense of aristocratic pride. Kolkata is home to Rabindranath Tagore\'s ancestral house, which has now been converted into a museum and houses a staggering collection of family portraits and paintings. There are plenty of ghats all over the city where you can sit and enjoy a sunset while sipping on tea, one of the most noted of these being the Prinsep Ghat, which offers stunning views of the Vidyasagar Setu in the backdrop. Close by is Millennium Park, which is a beautified waterfront park from where you can avail boat rides and cruises.Kolkata has a very lively nightlife, and the entire stretch along Park Street houses innumerable bars and pubs where you can party the night away. Kolkata\'s street food is famous all across the country, and the city is lined with eateries and food stalls at every corner, where you can savour local Bengali food, or try out local snacks such as Jhalmuri, or Ghugni Chaat.']"
bangalore,02-Mar,SAP Golden Grande,792,4,"["" Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee roasters and pubs dotting every corner of the city, serving cuisines from all over the world. Brunches, buffets, burgers, rooftop cafes, late-night eats - Bangalore has it all."", '', "" Here, one can choose to take a long stroll through the beautiful Cubbon Park, shop in the many malls or street markets or hop into one of the many acclaimed breweries for a cold and refreshing drink. There are a huge number of beautifully decorated parks in the city that are ideal for going on a morning stroll or a jog. One walk through the 300-acre Cubbon Park, or the botanical gardens of Lalbagh, and you'll know precisely why Bangalore is so famously called India's 'Garden City'.But just like every big city, the unprecedented growth of IT in Bangalore has reshaped quite a few things including rising temperatures, polluted lakes and heavily congested roads, especially in the newer areas. Aside from the central business and commercial districts (and the roads leading up to them), the neighbourhoods of Bangalore are mostly quiet and serene, especially the older parts of the city like Jayanagar and J.P Nagar. ""]"
durgapur,,HOTEL GALAXY INN,795,3.6,
noida,,Hotel White Castle,800,3.9,
raipur,,Aloha City Stay,808,4,
meerut,,Hotel travel inn,815,3.6,
allahabad,,City Hotel,816,3.1,
allahabad,,City Hotel,817,3.1,
kochi,01-Feb,OAK FIELD INN,819,3.8,"["" Situated on the southwest coast of India, Kochi or Cochin is a commercial port city with a trading history that dates back to at least 600 years. Called the Queen of the Arabian Sea, the city is Kerala's financial, commercial, and industrial capital.A gaggle of islands interconnected by ferries, this cosmopolitan town has upmarket stores, art galleries and some of the finest heritage accommodations. In a true vintage-meets-future fashion, restaurants and shopping hubs crowd Ernakulum, Jew Town and Fort Kochi along with palaces, beaches, temples, and heritage sites. Kochi is also an important place to see Kathakali and Kalarippayattu performances and the annual Biennale Festival.Well connected by all means possible, this coastal city is both a popular tourist hotspot and an active naval base, being officially the home to the Southern Command of the Indian Navy and an air squadron of the Indian Navy. ']"
amritsar,02-Mar,Shine Star By Tag Your Trip Near Golden Temple,820,3.8,"[' Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food. Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar\'s resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border.  From Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries.A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name is first the ancient lake, then the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India.']"
srinagar,03-May,Hotel Kashmir Inn,826,3.9,"["" Famously known as 'Heaven on Earth, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. Srinagar is known for the stationary houseboats and gondola-type rowboats- Shikaras on Dal Lake. Adorned with tranquil Dal Lake & Nigeen Lake, Srinagar is the dream destination for honeymoon and family holidays."", '', "" The tourists use Shikaras to see attractions like the Floating Vegetable Market and the Mir Bahris – a lively community of people who live on the lake itself. In addition, there are a lot of houseboats that provide a beautiful and unique stay experience on the lake. Srinagar is home to some of India's most exquisite Mughal-age gardens, with the top attractions being Nishat Bagh, Shalimar Bagh and Chashm-E-Shahi Garden. It is also home to Asia's largest tulip garden.Kashmiri cuisine or Wazwan is famous all over the globe. So when in Srinagar, trying out the local dishes, which are rich in unique fragrant spices, is a must. Srinagar is also famous for the Kashmiri shawls, Kashmiri apples, and dried fruits (almonds and walnuts) from the Lal Chowk Market.Heavy snowfall affects the connectivity of Srinagar during the winter months of December to February. Communal tensions also lead to frequent curfews in some parts of the city; however, things have improved in the past few years. So, make sure to check the situation before visiting.""]"
kochi,01-Feb,The Galaxy Suites,831,3.8,"["" Situated on the southwest coast of India, Kochi or Cochin is a commercial port city with a trading history that dates back to at least 600 years. Called the Queen of the Arabian Sea, the city is Kerala's financial, commercial, and industrial capital.A gaggle of islands interconnected by ferries, this cosmopolitan town has upmarket stores, art galleries and some of the finest heritage accommodations. In a true vintage-meets-future fashion, restaurants and shopping hubs crowd Ernakulum, Jew Town and Fort Kochi along with palaces, beaches, temples, and heritage sites. Kochi is also an important place to see Kathakali and Kalarippayattu performances and the annual Biennale Festival.Well connected by all means possible, this coastal city is both a popular tourist hotspot and an active naval base, being officially the home to the Southern Command of the Indian Navy and an air squadron of the Indian Navy. ']"
trivandrum,,Meghna Residency,831,3.6,
vadodara,,Shagun Residency,835,3.5,
ranchi,,Divisha The Bali Resort,840,4.9,
kolkata,02-Apr,Bubble Beds Kolkata,862,4.3,"["" Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrives on contradictions and imposing spectacles; nothing is commonplace in this city. Famously known as the City of Joy, Kolkata is, in every sense, the artistic, cultural and intellectual capital of the country. Kolkata's streets are vivid, hectic, chaotic, and yet, brimming with life and creativity. Driven by the indomitable spirit of the self-made middle class, the city has created a beautiful juxtaposition of the old colonial-era charm with the nascent upcoming hipster culture that thrives amongst the city's millennial residents."", '', ' Starting from admiring the flourishing art scene in the city to going on rewarding gastronomical explorations to wandering amidst the countless bazaars to sitting by the banks of the Hooghly and enjoying a peaceful sunset, Kolkata is soaked in layers and layers of heritage and culture, and peeling off each layer to look beneath the hood is a very rewarding, once-in-a-lifetime experience. As the famous quote goes, ""If you want a city with a soul, come to Calcutta"".Formerly the capital of the British empire before the government was shifted to Delhi, Kolkata has a distinct tinge of its royal past lingering in every nook and cranny of the city. If you want to soak in some of the city\'s regal past, take a walk along the streets of North Kolkata, which houses some of the oldest mansions in the city, swathed with vines and a persistent sense of aristocratic pride. Kolkata is home to Rabindranath Tagore\'s ancestral house, which has now been converted into a museum and houses a staggering collection of family portraits and paintings. There are plenty of ghats all over the city where you can sit and enjoy a sunset while sipping on tea, one of the most noted of these being the Prinsep Ghat, which offers stunning views of the Vidyasagar Setu in the backdrop. Close by is Millennium Park, which is a beautified waterfront park from where you can avail boat rides and cruises.Kolkata has a very lively nightlife, and the entire stretch along Park Street houses innumerable bars and pubs where you can party the night away. Kolkata\'s street food is famous all across the country, and the city is lined with eateries and food stalls at every corner, where you can savour local Bengali food, or try out local snacks such as Jhalmuri, or Ghugni Chaat.']"
